date,daily_pnl,n_trades,sentiment_value,classification
2024-03-27,150.41114,19,83,Extreme Greed
2024-03-28,227.85100799999998,9,80,Extreme Greed
2024-03-29,883.097404,6,79,Extreme Greed
2024-03-30,1100.57514,44,75,Extreme Greed
2024-03-31,912.786145,10,75,Extreme Greed
2024-04-01,2466.114786,42,79,Extreme Greed
2024-04-02,883.760812,12,79,Extreme Greed
2024-04-03,126.7884,1,71,Greed
2024-04-05,10706.484306,90,79,Extreme Greed
2024-04-06,236.33513399999998,4,75,Extreme Greed
2024-04-08,1218.4267,1,76,Extreme Greed
2024-04-10,5207.443414,36,78,Extreme Greed
2024-04-11,389.743164,2,76,Extreme Greed
2024-04-12,-592.6458390000001,101,79,Extreme Greed
2024-04-13,6621.451755,61,72,Greed
2024-04-14,-36104.012520000004,74,72,Greed
2024-04-15,3774.08872,35,74,Greed
2024-04-16,2467.702221,43,65,Greed
2024-04-17,2441.4683999999997,13,67,Greed
2024-04-19,1946.4454620000001,27,66,Greed
2024-04-23,1055.780526,34,71,Greed
2024-04-24,279.185907,7,72,Greed
2024-04-27,4281.488139,19,67,Greed
2024-04-29,526.9338359999999,17,67,Greed
2024-05-03,5306.017045,19,48,Neutral
2024-05-05,0.916,1,69,Greed
2024-05-06,968.59038,4,71,Greed
2024-05-07,883.537693,9,68,Greed
2024-05-08,1.56576,2,64,Greed
2024-05-09,1147.595856,11,55,Greed
2024-05-10,2101.741695,6,66,Greed
2024-05-11,251.604742,9,53,Neutral
2024-05-13,2136.853859,10,57,Greed
2024-05-14,1150.5233050000002,4,66,Greed
2024-05-15,948.970582,17,64,Greed
2024-05-16,214.5898,5,70,Greed
2024-05-18,3522.3946610000003,16,73,Greed
2024-05-20,-74.818442,3,70,Greed
2024-05-21,7289.397571999999,25,76,Extreme Greed
2024-05-24,821.949278,2,74,Greed
2024-05-26,773.4582,2,75,Extreme Greed
2024-06-07,7329.223137999999,30,77,Extreme Greed
2024-06-11,4269.550668,8,74,Greed
2024-06-13,6632.757115,20,70,Greed
2024-06-14,10258.592609,15,74,Greed
2024-06-15,3369.958346,38,74,Greed
